speakerGender,object,workerid,utterance,slide_number_in_experiment,Word,content,speakerName,response,exp,rt,Answer.time_in_minutes
F,,1,Did Amy think that Julian cleaned his room?,30,think,Julian cleaned his room,Carol,0.02,stim,16937,9.135916666666667
M,,1,Did Todd play football in high school?,31,,Todd played football in high school,George,0.02,control,11348,9.135916666666667
F,,1,Is Justin troubled that Valerie booked the venue?,32,trouble,Valerie booked the venue,Jessica,0.98,stim,10884,9.135916666666667
M,,1,Did Melissa simulate that Jon went out for dinner?,33,simulate,Jon went out for dinner,Mark,0.53,stim,10830,9.135916666666667
F,,1,Did Madison have a baby?,34,,Madison had a baby,Dorothy,0,control,6394,9.135916666666667
F,,1,Is Brian amused that Zoe calculated the tip?,35,amuse,Zoe calculated the tip,Kimberly,0.98,stim,7617,9.135916666666667
,Sarah,2,bot_check,1,,,,Charles,,0,4.94175
,Sarah,2,bot_check,1,,,,sarah,,0,4.94175
M,,2,Did Kevin suppose that Zoe calculated the tip?,3,suppose,Zoe calculated the tip,Matthew,0.43,stim,5501,4.94175
M,,2,Did Amy scream that Louis went swimming?,4,scream,Louis went swimming,George,0.68,stim,2912,4.94175
M,,2,Did Jerry ignore that Molly attended a conference last week?,5,ignore,Molly attended a conference last week,Steven,0.38,stim,2535,4.94175
M,,2,Did Tim think that Emily bought a car yesterday?,6,think,Emily bought a car yesterday,Christopher,0.62,stim,1807,4.94175
F,,2,Is Nicole alarmed that Charley spilled the wine?,7,alarm,Charley spilled the wine,Carol,0.53,stim,1336,4.94175
F,,2,Did Brian enjoy that Emilia looked after the kids?,8,enjoy,Emilia looked after the kids,Kimberly,0.8,stim,1327,4.94175
F,,2,Is Heather disgusted that Lucas bought new shoes?,9,disgust,Lucas bought new shoes,Michelle,0.55,stim,2543,4.94175
F,,2,Is Dennis aggravated that Isabella ate a steak on Sunday?,10,aggravate,Isabella ate a steak on Sunday,Linda,0.78,stim,1616,4.94175
M,,2,Is Stephanie fascinated that Dylan argued with his parents?,11,facinate,Dylan argued with his parents,Mark,0.39,stim,3528,4.94175
M,,2,Did Noah shout that Mary planted a tree?,12,shout,Mary planted a tree,Paul,0.61,stim,2191,4.94175
M,,2,Did Madison have a baby?,13,,Madison had a baby,Richard,0.51,control,2880,4.94175
F,,2,Is Brenda amused that Connor fell from a tree?,14,amuse,Connor fell from a tree,Dorothy,0.63,stim,3152,4.94175
F,,2,Did Catherine elaborate that Julian cleaned his room?,15,elaborate,Julian cleaned his room,Sarah,0.53,stim,2278,4.94175
M,,2,Is Vanessa good at math?,16,,Vanessa is good at math,James,0.66,control,3295,4.94175
F,,2,Is Laura embarrassed that Jackson ran 10 miles?,17,embarrass,Jackson ran 10 miles,Betty,0.68,stim,4703,4.94175
F,,2,Did Regina compute that Frank got a cat?,18,compute,Frank got a cat,Sandra,0.47,stim,2151,4.94175
M,,2,Is Andrew troubled that Sophia got a tattoo?,19,trouble,Sophia got a tattoo,Robert,0.55,stim,2097,4.94175
F,,2,Did Bobby pray that Natasha got a promotion?,20,pray,Natasha got a promotion,Susan,0.41,stim,1736,4.94175
F,,2,Did Eli argue that Courtney woke up early yesterday?,21,argue,Courtney woke up early yesterday,Jennifer,0.53,stim,2287,4.94175
F,,2,Is Anna excited that Josh learned to ride a bike yesterday?,22,excite,Josh learned to ride a bike yesterday,Donna,0.41,stim,1571,4.94175
F,,2,Is Mary's aunt sick?,23,,Mary's aunt is sick,Ashley,0.55,control,1487,4.94175
F,,2,Did Todd play football in high school?,24,,Todd played football in high school,Nancy,0.62,control,2015,4.94175
F,,2,Is Patrick surprised that Emma studied on Saturday morning?,25,surprise,Emma studied on Saturday morning,Margaret,0.42,stim,2031,4.94175
M,,2,Did Ruth bet that Allen went to the museum?,26,bet,Allen went to the museum,David,0.55,stim,1863,4.94175
M,,2,Did Ray resent that Hannah called her parents?,27,resent,Hannah called her parents,Thomas,0.56,stim,1449,4.94175
F,,2,Did Sharon express that Jon went out for dinner?,28,express,Jon went out for dinner,Karen,0.65,stim,2257,4.94175
F,,2,Did Scott gossip that Olivia left her job?,29,gossip,Olivia left her job,Helen,0.58,stim,1461,4.94175
F,,2,Did Melissa simulate that Danny ate the last cupcake?,30,simulate,Danny ate the last cupcake,Elizabeth,0.47,stim,8255,4.94175
M,,2,Did Amanda expose that Cole celebrated his friend's birthday?,31,expose,Cole celebrated his friend's birthday,William,0.65,stim,2648,4.94175
M,,2,Was Hendrick's car expensive?,32,,Hendrick's car was expensive,Logan,0.9,control,1553,4.94175
F,,2,Did Shirley write that Jayden rented a car?,33,write,Jayden rented a car,Jessica,0.58,stim,1590,4.94175
M,,2,Did Cynthia dictate that Tony had a drink last night?,34,dictate,Tony had a drink last night,Kenneth,0.69,stim,3519,4.94175
F,,2,Is Zack coming to the meeting tomorrow?,35,,Zack is coming to the meeting tomorrow,Lisa,0.74,control,2112,4.94175
,Jessica,3,bot_check,1,,,,Jessica,,0,9.522333333333334
M,,3,Is Francisco shocked that Emma studied on Saturday morning?,3,shock,Emma studied on Saturday morning,Kenneth,0.55,stim,4954,9.522333333333334
M,,3,Did Sharon pray that Louis went swimming?,4,pray,Louis went swimming,David,0.52,stim,1744,9.522333333333334
F,,3,Did Patrick expose that Sophia got a tattoo?,5,expose,Sophia got a tattoo,Ashley,0.49,stim,1608,9.522333333333334
M,,3,Did Kathleen compute that Charley spilled the wine?,6,compute,Charley spilled the wine,Logan,0.55,stim,1520,9.522333333333334
F,,3,Is Kevin embarrassed that Isabella ate a steak on Sunday?,7,embarrass,Isabella ate a steak on Sunday,Jennifer,0.49,stim,4488,9.522333333333334
F,,3,Is Justin thrilled that Hannah called her parents?,8,thrill,Hannah called her parents,Nancy,0.51,stim,2359,9.522333333333334
M,,3,Did Bobby celebrate that Grace visited her sister?,9,celebrate,Grace visited her sister,Mark,0.5,stim,1654,9.522333333333334
F,,3,Did Alan scream that Mia drank 2 cocktails last night?,10,scream,Mia drank 2 cocktails last night,Jessica,0.51,stim,1624,9.522333333333334
M,,3,Did Brenda love that Dylan argued with his parents?,11,love,Dylan argued with his parents,Thomas,0.52,stim,2088,9.522333333333334
F,,3,Did Colby testify that Molly attended a conference last week?,12,testify,Molly attended a conference last week,Susan,0.52,stim,1991,9.522333333333334
M,,3,Did Rebecca squeal that Tony had a drink last night?,13,squeal,Tony had a drink last night,Christopher,0.47,stim,15784,9.522333333333334
F,,3,Is Jerry insulted that Olivia left her job?,14,insult,Olivia left her job,Dorothy,0.5,stim,1536,9.522333333333334
M,,3,Did Amy require that Josh learned to ride a bike yesterday?,15,require,Josh learned to ride a bike yesterday,Steven,0.51,stim,1758,9.522333333333334
M,,3,Did Madison have a baby?,16,,Madison had a baby,Richard,0.49,control,1559,9.522333333333334
F,,3,Did Scott murmur that Natasha got a promotion?,17,murmur,Natasha got a promotion,Helen,0.46,stim,1973,9.522333333333334
M,,3,Did Todd play football in high school?,18,,Todd played football in high school,Matthew,0.5,control,1281,9.522333333333334
F,,3,Is Ben pained that Josie went on vacation to France?,19,pain,Josie went on vacation to France,Karen,0.52,stim,1128,9.522333333333334
F,,3,Was Hendrick's car expensive?,20,,Hendrick's car was expensive,Kimberly,0.5,control,1192,9.522333333333334
F,,3,Is Cynthia amused that Frank got a cat?,21,amuse,Frank got a cat,Sarah,0.51,stim,1111,9.522333333333334
M,,3,Did Heather fantasize that Danny ate the last cupcake?,22,fantasize,Danny ate the last cupcake,Robert,0.52,stim,1144,9.522333333333334
F,,3,Is Laura surprised that Fred missed the train?,23,surprise,Fred missed the train,Margaret,0.52,stim,1612,9.522333333333334
F,,3,Is Vanessa good at math?,24,,Vanessa is good at math,Donna,0.48,control,1213,9.522333333333334
F,,3,Did Dennis gossip that Emilia looked after the kids?,25,gossip,Emilia looked after the kids,Betty,0.51,stim,1185,9.522333333333334
M,,3,Did Amanda argue that Jayden rented a car?,26,argue,Jayden rented a car,George,0.48,stim,25270,9.522333333333334
F,,3,Did Andrew whine that Zoe calculated the tip?,27,whine,Zoe calculated the tip,Sandra,0.4,stim,16454,9.522333333333334
F,,3,Is Zack coming to the meeting tomorrow?,28,,Zack is coming to the meeting tomorrow,Michelle,0.5,control,2752,9.522333333333334
M,,3,Did Melissa envision that Allen went to the museum?,29,envision,Allen went to the museum,Paul,0.5,stim,21097,9.522333333333334
F,,3,Did Eli resent that Danielle painted her room?,30,resent,Danielle painted her room,Lisa,0.53,stim,1315,9.522333333333334
F,,3,Did Nicole express that Jason made a cake?,31,express,Jason made a cake,Elizabeth,0.52,stim,1482,9.522333333333334
F,,3,Is Mary's aunt sick?,32,,Mary's aunt is sick,Carol,0.48,control,2918,9.522333333333334
M,,3,Is Regina troubled that Owen shoveled snow last winter?,33,trouble,Owen shoveled snow last winter,James,0.49,stim,1839,9.522333333333334
M,,3,Is Shirley promised that Jackson ran 10 miles?,34,promise,Jackson ran 10 miles,William,0.52,stim,1278,9.522333333333334
F,,3,Did Manuel suppose that Emily bought a car yesterday?,35,suppose,Emily bought a car yesterday,Linda,0.51,stim,1354,9.522333333333334
,Margaret,4,bot_check,1,,,,Margaret,,0,19.0381
M,,4,Did Melissa joke that Frank got a cat?,3,joke,Frank got a cat,James,0.02,stim,39691,19.0381
F,,4,Did Laura bet that Lucas bought new shoes?,4,bet,Lucas bought new shoes,Betty,0.49,stim,12345,19.0381
F,,4,Did Francisco ignore that Grace visited her sister?,5,ignore,Grace visited her sister,Sarah,0.99,stim,23165,19.0381
F,,4,Did Todd play football in high school?,6,,Todd played football in high school,Elizabeth,0.03,control,198928,19.0381
F,,4,Is Zack coming to the meeting tomorrow?,7,,Zack is coming to the meeting tomorrow,Jennifer,0.03,control,122857,19.0381
M,,4,Is Vanessa good at math?,8,,Vanessa is good at math,Richard,0.02,control,9100,19.0381
F,,4,Is Anna shocked that Louis went swimming?,9,shock,Louis went swimming,Dorothy,0,stim,9213,19.0381
F,,4,Is Alan amused that Sophia got a tattoo?,10,amuse,Sophia got a tattoo,Ashley,0.96,stim,14038,19.0381
F,,4,Did Madison have a baby?,11,,Madison had a baby,Jessica,0,control,8679,19.0381
F,,4,Is Scott fascinated that Zoe calculated the tip?,12,facinate,Zoe calculated the tip,Nancy,0.97,stim,46394,19.0381
M,,4,Is Catherine pained that Josh learned to ride a bike yesterday?,13,pain,Josh learned to ride a bike yesterday,Thomas,0.98,stim,194751,19.0381
F,,4,Is Amy troubled that Danny ate the last cupcake?,14,trouble,Danny ate the last cupcake,Michelle,0.99,stim,40887,19.0381
F,,4,Did Sharon cringe that Jackson ran 10 miles?,15,cringe,Jackson ran 10 miles,Linda,0.01,stim,70493,19.0381
F,,4,Is Heather promised that Owen shoveled snow last winter?,16,promise,Owen shoveled snow last winter,Carol,0.04,stim,17300,19.0381
M,,4,Did Noah verify that Emma studied on Saturday morning?,17,verify,Emma studied on Saturday morning,George,0.02,stim,6083,19.0381
M,,4,Did Eli argue that Emily bought a car yesterday?,18,argue,Emily bought a car yesterday,David,0.03,stim,153783,19.0381
M,,4,Did Manuel tweet that Molly attended a conference last week?,19,tweet,Molly attended a conference last week,William,0.02,stim,6478,19.0381
M,,4,Is Ben disgusted that Audrey went to a party?,20,disgust,Audrey went to a party,Christopher,0.98,stim,4386,19.0381
M,,4,Is Amanda tortured that Jason made a cake?,21,torture,Jason made a cake,Paul,0.98,stim,11342,19.0381
F,,4,Did Cynthia murmur that Tony had a drink last night?,22,murmur,Tony had a drink last night,Kimberly,0.02,stim,8919,19.0381
M,,4,Was Hendrick's car expensive?,23,,Hendrick's car was expensive,Matthew,0,control,6666,19.0381
F,,4,Did Shirley suppose that Cole celebrated his friend's birthday?,24,suppose,Cole celebrated his friend's birthday,Donna,0.02,stim,3619,19.0381
F,,4,Is Mary's aunt sick?,25,,Mary's aunt is sick,Margaret,0.04,control,3469,19.0381
F,,4,Did Andrew gossip that Emilia looked after the kids?,26,gossip,Emilia looked after the kids,Susan,0.01,stim,3811,19.0381
F,,4,Is Kaitlin alarmed that Dylan argued with his parents?,27,alarm,Dylan argued with his parents,Lisa,0.03,stim,2423,19.0381
M,,4,Did Kevin whine that Mia drank 2 cocktails last night?,28,whine,Mia drank 2 cocktails last night,Kenneth,0.04,stim,6415,19.0381
M,,4,Did Patrick anticipate that Isabella ate a steak on Sunday?,29,anticipate,Isabella ate a steak on Sunday,Logan,0.02,stim,3690,19.0381
M,,4,Did Colby pray that Courtney woke up early yesterday?,30,pray,Courtney woke up early yesterday,Steven,0.02,stim,3993,19.0381
M,,4,Did Kathleen write that Fred missed the train?,31,write,Fred missed the train,Mark,0.03,stim,2672,19.0381
F,,4,Did Justin squeal that Valerie booked the venue?,32,squeal,Valerie booked the venue,Karen,0.01,stim,3126,19.0381
M,,4,Is Dennis thrilled that Natasha got a promotion?,33,thrill,Natasha got a promotion,Robert,0.98,stim,4403,19.0381
F,,4,Did Ruth enjoy that Charley spilled the wine?,34,enjoy,Charley spilled the wine,Sandra,0.02,stim,2473,19.0381
F,,4,Did Stephanie elaborate that Jon went out for dinner?,35,elaborate,Jon went out for dinner,Helen,0,stim,2956,19.0381
,Jessica,5,bot_check,1,,,,Jessica,,0,3.18885
F,,5,Was Hendrick's car expensive?,3,,Hendrick's car was expensive,Michelle,0.55,control,2795,3.18885
M,,5,Did Noah fantasize that Grace visited her sister?,4,fantasize,Grace visited her sister,Logan,0.36,stim,4965,3.18885
M,,5,Did Madison have a baby?,5,,Madison had a baby,Mark,0.58,control,1890,3.18885
F,,5,Did Manuel envision that Molly attended a conference last week?,6,envision,Molly attended a conference last week,Helen,0.88,stim,1705,3.18885
M,,5,Did Francisco testify that Zoe calculated the tip?,7,testify,Zoe calculated the tip,Steven,0.59,stim,2861,3.18885
F,,5,Is Ray distressed that Olivia left her job?,8,distress,Olivia left her job,Carol,0.7,stim,8429,3.18885
M,,5,Is Shirley pained that Tony had a drink last night?,9,pain,Tony had a drink last night,Christopher,0.42,stim,2130,3.18885
F,,5,Is Sharon amused that Allen went to the museum?,10,amuse,Allen went to the museum,Lisa,0.76,stim,1950,3.18885
F,,5,Did Brenda shout that Jason made a cake?,11,shout,Jason made a cake,Nancy,0.52,stim,1854,3.18885
F,,5,Did Brian weep that Isabella ate a steak on Sunday?,12,weep,Isabella ate a steak on Sunday,Kimberly,0.8,stim,3018,3.18885
F,,5,Is Dennis fascinated that Mia drank 2 cocktails last night?,13,facinate,Mia drank 2 cocktails last night,Elizabeth,0.51,stim,1656,3.18885
F,,5,Is Laura thrilled that Charley spilled the wine?,14,thrill,Charley spilled the wine,Susan,0.74,stim,4047,3.18885
F,,5,Is Justin embarrassed that Emily bought a car yesterday?,15,embarrass,Emily bought a car yesterday,Donna,0.45,stim,1565,3.18885
M,,5,Did Alan write that Sophia got a tattoo?,16,write,Sophia got a tattoo,George,0.75,stim,1548,3.18885
F,,5,Did Regina bet that Jayden rented a car?,17,bet,Jayden rented a car,Linda,0.76,stim,2041,3.18885
F,,5,Did Amanda joke that Julian cleaned his room?,18,joke,Julian cleaned his room,Sarah,0.48,stim,1495,3.18885
F,,5,Is Mary's aunt sick?,19,,Mary's aunt is sick,Margaret,0.77,control,1771,3.18885
F,,5,Is Zack coming to the meeting tomorrow?,20,,Zack is coming to the meeting tomorrow,Jessica,0.58,control,1575,3.18885
M,,5,Did Jerry gossip that Valerie booked the venue?,21,gossip,Valerie booked the venue,Thomas,0.86,stim,1755,3.18885
M,,5,Is Catherine offended that Dylan argued with his parents?,22,offend,Dylan argued with his parents,Robert,0.68,stim,2426,3.18885
F,,5,Did Andrew require that Audrey went to a party?,23,require,Audrey went to a party,Sandra,0.52,stim,1325,3.18885
M,,5,Is Vanessa good at math?,24,,Vanessa is good at math,Richard,0.78,control,1279,3.18885
M,,5,Is Stephanie charmed that Josh learned to ride a bike yesterday?,25,charm,Josh learned to ride a bike yesterday,David,0.54,stim,1285,3.18885
F,,5,Did Todd play football in high school?,26,,Todd played football in high school,Ashley,0.75,control,1226,3.18885
M,,5,Is Nicole alarmed that Fred missed the train?,27,alarm,Fred missed the train,Paul,0.52,stim,1349,3.18885
M,,5,Did Amy cringe that Danny ate the last cupcake?,28,cringe,Danny ate the last cupcake,Matthew,0.75,stim,2515,3.18885
M,,5,Is Kevin tortured that Josie went on vacation to France?,29,torture,Josie went on vacation to France,James,0.75,stim,2924,3.18885
M,,5,Did Tim tweet that Danielle painted her room?,30,tweet,Danielle painted her room,William,0.52,stim,1225,3.18885
M,,5,Is Bobby promised that Hannah called her parents?,31,promise,Hannah called her parents,Kenneth,0.78,stim,1202,3.18885
F,,5,Did Cynthia express that Jackson ran 10 miles?,32,express,Jackson ran 10 miles,Betty,0.7,stim,2953,3.18885
F,,5,Did Rebecca compute that Louis went swimming?,33,compute,Louis went swimming,Jennifer,0.87,stim,2385,3.18885
F,,5,Did Kathleen dictate that Connor fell from a tree?,34,dictate,Connor fell from a tree,Karen,0.55,stim,2558,3.18885
F,,5,Is Melissa irritated that Lucas bought new shoes?,35,irritate,Lucas bought new shoes,Dorothy,0.81,stim,1572,3.18885
,Susan,6,bot_check,1,,,,Susan,,0,1.29035
F,,6,Did Heather celebrate that Josh learned to ride a bike yesterday?,3,celebrate,Josh learned to ride a bike yesterday,Carol,0.56,stim,1742,1.29035
F,,6,Did Madison have a baby?,4,,Madison had a baby,Michelle,0.72,control,1062,1.29035
M,,6,Did Andrew compute that Josie went on vacation to France?,5,compute,Josie went on vacation to France,Mark,0.64,stim,1136,1.29035
F,,6,Was Hendrick's car expensive?,6,,Hendrick's car was expensive,Nancy,0.7,control,1011,1.29035
F,,6,Did Brian squeal that Sophia got a tattoo?,7,squeal,Sophia got a tattoo,Donna,0.65,stim,918,1.29035
F,,6,Did Dennis feel that Isabella ate a steak on Sunday?,8,feel,Isabella ate a steak on Sunday,Sarah,0.81,stim,1039,1.29035
M,,6,Is Zack coming to the meeting tomorrow?,9,,Zack is coming to the meeting tomorrow,Kenneth,0.57,control,1394,1.29035
F,,6,Did Kaitlin shout that Jason made a cake?,10,shout,Jason made a cake,Kimberly,0.77,stim,1116,1.29035
M,,6,Did Alan argue that Hannah called her parents?,11,argue,Hannah called her parents,George,0.73,stim,2066,1.29035
M,,6,Is Ray charmed that Mia drank 2 cocktails last night?,12,charm,Mia drank 2 cocktails last night,William,0.78,stim,1166,1.29035
F,,6,Did Tim envision that Molly attended a conference last week?,13,envision,Molly attended a conference last week,Lisa,0.62,stim,1608,1.29035
F,,6,Did Kevin suppose that Mary planted a tree?,14,suppose,Mary planted a tree,Margaret,0.76,stim,1064,1.29035
F,,6,Is Kathleen alarmed that Julian cleaned his room?,15,alarm,Julian cleaned his room,Jennifer,0.62,stim,998,1.29035
F,,6,Did Francisco weep that Natasha got a promotion?,16,weep,Natasha got a promotion,Susan,0.75,stim,1599,1.29035
M,,6,Is Mary's aunt sick?,17,,Mary's aunt is sick,Logan,0.59,control,895,1.29035
F,,6,Is Ben excited that Danielle painted her room?,18,excite,Danielle painted her room,Dorothy,0.81,stim,1008,1.29035
M,,6,Did Brenda fantasize that Jayden rented a car?,19,fantasize,Jayden rented a car,Robert,0.67,stim,1012,1.29035
M,,6,Is Noah distressed that Zoe calculated the tip?,20,distress,Zoe calculated the tip,James,0.7,stim,1051,1.29035
F,,6,Is Colby insulted that Emilia looked after the kids?,21,insult,Emilia looked after the kids,Elizabeth,0.7,stim,1064,1.29035
M,,6,Is Vanessa good at math?,22,,Vanessa is good at math,Richard,0.79,control,976,1.29035
F,,6,Did Catherine testify that Tony had a drink last night?,23,testify,Tony had a drink last night,Betty,0.66,stim,1567,1.29035
F,,6,Is Scott promised that Emma studied on Saturday morning?,24,promise,Emma studied on Saturday morning,Karen,0.75,stim,1264,1.29035
F,,6,Is Sharon tortured that Frank got a cat?,25,torture,Frank got a cat,Linda,0.61,stim,1480,1.29035
F,,6,Did Bobby cringe that Valerie booked the venue?,26,cringe,Valerie booked the venue,Jessica,0.71,stim,983,1.29035
