workerid,proliferate.condition,Word,content,exp,object,response,rt,slide_number_in_experiment,speakerGender,speakerName,utterance,error
70,experiment,distress,Isabella ate a steak on Sunday,stim,,yes,1265,29,F,Ashley,Is Manuel distressed that Isabella ate a steak on Sunday?,
70,experiment,,Vanessa is good at math,control,,no,1236,30,F,Nancy,Is Vanessa good at math?,
70,experiment,gossip,Tony had a drink last night,stim,,yes,1665,31,M,Matthew,Did Brenda gossip that Tony had a drink last night?,
70,experiment,,Madison had a baby,control,,no,1169,32,F,Michelle,Did Madison have a baby?,
70,experiment,,Todd played football in high school,control,,no,947,33,F,Kimberly,Did Todd play football in high school?,
70,experiment,compute,Dylan argued with his parents,stim,,no,2534,34,F,Sarah,Did Kathleen compute that Dylan argued with his parents?,
70,experiment,insult,Courtney woke up early yesterday,stim,,yes,1316,35,M,Logan,Is Kevin insulted that Courtney woke up early yesterday?,
70,experiment,celebrate,Emily bought a car yesterday,stim,,yes,1660,36,M,Steven,Did Noah celebrate that Emily bought a car yesterday?,
70,experiment,,Zack is coming to the meeting tomorrow,control,,no,1284,37,M,Christopher,Is Zack coming to the meeting tomorrow?,
70,experiment,envision,Charley spilled the wine,stim,,no,2222,38,M,Robert,Did Stephanie envision that Charley spilled the wine?,
70,experiment,argue,Jon went out for dinner,stim,,no,2062,39,M,Paul,Did Amanda argue that Jon went out for dinner?,
70,experiment,suppose,Audrey went to a party,stim,,no,1110,40,F,Linda,Did Andrew suppose that Audrey went to a party?,
70,experiment,torture,Zoe calculated the tip,stim,,no,1992,41,F,Lisa,Is Patrick tortured that Zoe calculated the tip?,
104,experiment,,,,,5724dbdc386f1b0011e92b81,0,1,,,,
104,experiment,,,,Margaret,Margaret ,0,2,,,bot_check,
104,experiment,,,,Margaret,Margaret ,0,2,,,bot_check,
104,experiment,,,,Margaret,Margaret,0,2,,,bot_check,
104,experiment,,Hendrick's car was expensive,control,,no,4885,9,F,Margaret,Was Hendrick's car expensive?,
104,experiment,amuse,Julian cleaned his room,stim,,yes,6370,10,F,Donna,Is Heather amused that Julian cleaned his room?,
104,experiment,feel,Louis went swimming,stim,,no,5578,11,F,Lisa,Did Amy feel that Louis went swimming?,
104,experiment,disgust,Danielle painted her room,stim,,yes,5385,12,F,Linda,Is Brian disgusted that Danielle painted her room?,
104,experiment,elaborate,Valerie booked the venue,stim,,no,5777,13,M,Steven,Did Kevin elaborate that Valerie booked the venue?,
104,experiment,irritate,Danny ate the last cupcake,stim,,yes,5478,14,F,Elizabeth,Is Kaitlin irritated that Danny ate the last cupcake?,
104,experiment,think,Jayden rented a car,stim,,no,5142,15,F,Nancy,Did Brenda think that Jayden rented a car?,
104,experiment,shout,Audrey went to a party,stim,,no,4445,16,F,Jessica,Did Andrew shout that Audrey went to a party?,
104,experiment,trouble,Emilia looked after the kids,stim,,yes,4623,17,M,Mark,Is Alan troubled that Emilia looked after the kids?,
104,experiment,shock,Molly attended a conference last week,stim,,yes,5396,18,F,Sarah,Is Manuel shocked that Molly attended a conference last week?,
104,experiment,expose,Owen shoveled snow last winter,stim,,yes,5992,19,F,Sandra,Did Shirley expose that Owen shoveled snow last winter?,
104,experiment,,Madison had a baby,control,,no,2795,20,F,Kimberly,Did Madison have a baby?,
104,experiment,enjoy,Josie went on vacation to France,stim,,yes,6042,21,F,Susan,Did Tim enjoy that Josie went on vacation to France?,
104,experiment,compute,Isabella ate a steak on Sunday,stim,,no,5983,22,F,Dorothy,Did Ben compute that Isabella ate a steak on Sunday?,
104,experiment,retract,Hannah called her parents,stim,,no,5540,23,F,Karen,Did Colby retract that Hannah called her parents?,
104,experiment,celebrate,Olivia left her job,stim,,yes,5063,24,M,George,Did Bobby celebrate that Olivia left her job?,
104,experiment,squeal,Jon went out for dinner,stim,,yes,6506,25,M,Thomas,Did Kathleen squeal that Jon went out for dinner?,
104,experiment,pain,Emma studied on Saturday morning,stim,,yes,5332,26,F,Helen,Is Scott pained that Emma studied on Saturday morning?,
104,experiment,weep,Allen went to the museum,stim,,yes,5854,27,M,Matthew,Did Regina weep that Allen went to the museum?,
104,experiment,thrill,Dylan argued with his parents,stim,,yes,4852,28,M,David,Is Amanda thrilled that Dylan argued with his parents?,
104,experiment,,Vanessa is good at math,control,,no,3765,29,M,Logan,Is Vanessa good at math?,
104,experiment,promise,Tony had a drink last night,stim,,no,6201,30,M,William,Did Stephanie promise that Tony had a drink last night?,
104,experiment,,Zack is coming to the meeting tomorrow,control,,no,4736,31,F,Betty,Is Zack coming to the meeting tomorrow?,
104,experiment,facinate,Connor fell from a tree,stim,,no,6109,32,M,Robert,Is Nicole fascinated that Connor fell from a tree?,
104,experiment,,Mary's aunt is sick,control,,no,4163,33,F,Michelle,Is Mary's aunt sick?,
104,experiment,bet,Fred missed the train,stim,,no,3722,34,M,James,Did Ruth bet that Fred missed the train?,
104,experiment,gossip,Cole celebrated his friend's birthday,stim,,no,4464,35,M,Paul,Did Laura gossip that Cole celebrated his friend's birthday?,
104,experiment,tweet,Natasha got a promotion,stim,,no,5845,36,M,Richard,Did Patrick tweet that Natasha got a promotion?,
104,experiment,argue,Jason made a cake,stim,,no,3948,37,F,Ashley,Did Catherine argue that Jason made a cake?,
104,experiment,offend,Zoe calculated the tip,stim,,yes,5730,38,F,Jennifer,Is Dennis offended that Zoe calculated the tip?,
104,experiment,,Todd played football in high school,control,,no,3980,39,M,Kenneth,Did Todd play football in high school?,
104,experiment,ignore,Grace visited her sister,stim,,yes,5526,40,M,Christopher,Did Francisco ignore that Grace visited her sister?,
104,experiment,express,Lucas bought new shoes,stim,,no,5566,41,F,Carol,Did Melissa express that Lucas bought new shoes?,
169,experiment,,,,,5d0c3381da7493001ab3a903,0,1,,,,
169,experiment,,,,Patricia,Patricia,0,2,,,bot_check,
169,experiment,feel,Jason made a cake,stim,,,Late,9,M,David,Did Cynthia feel that Jason made a cake?,
169,experiment,charm,Jackson ran 10 miles,stim,,yes,5194,10,M,Kenneth,Is Rebecca charmed that Jackson ran 10 miles?,
169,experiment,promise,Olivia left her job,stim,,no,8064,11,F,Carol,Did Bobby promise that Olivia left her job?,
169,experiment,require,Tony had a drink last night,stim,,no,9153,12,F,Dorothy,Did Amanda require that Tony had a drink last night?,
169,experiment,tweet,Jon went out for dinner,stim,,yes,7857,13,M,Christopher,Did Sharon tweet that Jon went out for dinner?,
169,experiment,facinate,Valerie booked the venue,stim,,yes,5262,14,M,William,Is Noah fascinated that Valerie booked the venue?,
169,experiment,embarrass,Josh learned to ride a bike yesterday,stim,,yes,4433,15,F,Sarah,Is Laura embarrassed that Josh learned to ride a bike yesterday?,
169,experiment,celebrate,Allen went to the museum,stim,,yes,3742,16,F,Elizabeth,Did Kaitlin celebrate that Allen went to the museum?,
169,experiment,,Hendrick's car was expensive,control,,no,2558,17,F,Nancy,Was Hendrick's car expensive?,
169,experiment,bet,Molly attended a conference last week,stim,,no,6542,18,F,Kimberly,Did Brian bet that Molly attended a conference last week?,
169,experiment,anticipate,Emilia looked after the kids,stim,,no,7713,19,F,Donna,Did Eli anticipate that Emilia looked after the kids?,
169,experiment,aggravate,Louis went swimming,stim,,yes,2927,20,M,Richard,Is Nicole aggravated that Louis went swimming?,
169,experiment,enjoy,Emma studied on Saturday morning,stim,,yes,3408,21,F,Susan,Did Andrew enjoy that Emma studied on Saturday morning?,
169,experiment,pain,Frank got a cat,stim,,yes,3438,22,M,George,Is Ruth pained that Frank got a cat?,
169,experiment,joke,Hannah called her parents,stim,,yes,3008,23,F,Ashley,Did Ray joke that Hannah called her parents?,
169,experiment,,Todd played football in high school,control,,no,6161,24,F,Margaret,Did Todd play football in high school?,
169,experiment,ignore,Mia drank 2 cocktails last night,stim,,yes,5903,25,F,Jessica,Did Colby ignore that Mia drank 2 cocktails last night?,
169,experiment,elaborate,Danielle painted her room,stim,,yes,4241,26,M,Steven,Did Alan elaborate that Danielle painted her room?,
169,experiment,,Vanessa is good at math,control,,no,3216,27,F,Lisa,Is Vanessa good at math?,
169,experiment,torture,Cole celebrated his friend's birthday,stim,,,Late,28,F,Betty,Is Catherine tortured that Cole celebrated his friend's birthday?,
169,experiment,shout,Lucas bought new shoes,stim,,yes,6078,29,F,Jennifer,Did Brenda shout that Lucas bought new shoes?,
169,experiment,insult,Emily bought a car yesterday,stim,,yes,4625,30,M,Matthew,Is Ben insulted that Emily bought a car yesterday?,
169,experiment,write,Fred missed the train,stim,,yes,5792,31,F,Sandra,Did Regina write that Fred missed the train?,
169,experiment,gossip,Natasha got a promotion,stim,,yes,6672,32,M,Mark,Did Tim gossip that Natasha got a promotion?,
169,experiment,resent,Julian cleaned his room,stim,,yes,2593,33,F,Helen,Did Melissa resent that Julian cleaned his room?,
169,experiment,,Mary's aunt is sick,control,,no,4512,34,M,Robert,Is Mary's aunt sick?,
169,experiment,,Madison had a baby,control,,no,2863,35,M,Logan,Did Madison have a baby?,
169,experiment,alarm,Danny ate the last cupcake,stim,,yes,5541,36,M,Thomas,Is Anna alarmed that Danny ate the last cupcake?,
169,experiment,,Zack is coming to the meeting tomorrow,control,,no,2399,37,F,Michelle,Is Zack coming to the meeting tomorrow?,
169,experiment,suppose,Grace visited her sister,stim,,no,4687,38,F,Linda,Did Manuel suppose that Grace visited her sister?,
169,experiment,verify,Courtney woke up early yesterday,stim,,no,3105,39,M,James,Did Jerry verify that Courtney woke up early yesterday?,
169,experiment,dictate,Mary planted a tree,stim,,yes,3328,40,M,Paul,Did Patrick dictate that Mary planted a tree?,
169,experiment,argue,Isabella ate a steak on Sunday,stim,,yes,5648,41,F,Karen,Did Dennis argue that Isabella ate a steak on Sunday?,
152,experiment,,,,,5aef97b09516fe00010959f4,0,1,,,,
152,experiment,,,,Elizabeth,Elizabeth,0,2,,,bot_check,
152,experiment,joke,Dylan argued with his parents,stim,,no,3619,9,F,Michelle,Did Catherine joke that Dylan argued with his parents?,
152,experiment,murmur,Julian cleaned his room,stim,,no,2549,10,F,Sandra,Did Brenda murmur that Julian cleaned his room?,
152,experiment,ignore,Louis went swimming,stim,,yes,3913,11,F,Lisa,Did Shirley ignore that Louis went swimming?,
152,experiment,fantasize,Tony had a drink last night,stim,,no,4036,12,M,Steven,Did Regina fantasize that Tony had a drink last night?,
152,experiment,charm,Lucas bought new shoes,stim,,yes,3981,13,F,Susan,Is Stephanie charmed that Lucas bought new shoes?,
152,experiment,verify,Sophia got a tattoo,stim,,no,3133,14,F,Dorothy,Did Eli verify that Sophia got a tattoo?,
152,experiment,,Zack is coming to the meeting tomorrow,control,,no,2244,15,M,Christopher,Is Zack coming to the meeting tomorrow?,
152,experiment,embarrass,Danielle painted her room,stim,,yes,2571,16,M,Matthew,Is Justin embarrassed that Danielle painted her room?,
152,experiment,,Todd played football in high school,control,,no,2668,17,F,Helen,Did Todd play football in high school?,
152,experiment,feel,Jayden rented a car,stim,,no,4153,18,F,Carol,Did Sharon feel that Jayden rented a car?,
152,experiment,insult,Audrey went to a party,stim,,yes,3864,19,M,Paul,Is Noah insulted that Audrey went to a party?,
152,experiment,gossip,Jackson ran 10 miles,stim,,yes,4159,20,M,Richard,Did Rebecca gossip that Jackson ran 10 miles?,
152,experiment,,Madison had a baby,control,,no,2120,21,M,Kenneth,Did Madison have a baby?,
152,experiment,tweet,Owen shoveled snow last winter,stim,,no,3591,22,M,George,Did Anna tweet that Owen shoveled snow last winter?,
152,experiment,,Hendrick's car was expensive,control,,no,4136,23,M,David,Was Hendrick's car expensive?,
152,experiment,expose,Cole celebrated his friend's birthday,stim,,yes,2327,24,M,Robert,Did Amanda expose that Cole celebrated his friend's birthday?,
152,experiment,anticipate,Isabella ate a steak on Sunday,stim,,yes,2866,25,M,Mark,Did Ben anticipate that Isabella ate a steak on Sunday?,
152,experiment,shout,Emily bought a car yesterday,stim,,yes,3467,26,F,Ashley,Did Andrew shout that Emily bought a car yesterday?,
152,experiment,squeal,Zoe calculated the tip,stim,,yes,1964,27,F,Kimberly,Did Bobby squeal that Zoe calculated the tip?,
152,experiment,pray,Molly attended a conference last week,stim,,no,3829,28,F,Jennifer,Did Tim pray that Molly attended a conference last week?,
152,experiment,resent,Danny ate the last cupcake,stim,,yes,1861,29,M,William,Did Kaitlin resent that Danny ate the last cupcake?,
152,experiment,think,Hannah called her parents,stim,,no,5080,30,F,Betty,Did Kevin think that Hannah called her parents?,
152,experiment,require,Jon went out for dinner,stim,,yes,3870,31,F,Karen,Did Melissa require that Jon went out for dinner?,
152,experiment,aggravate,Emilia looked after the kids,stim,,yes,2416,32,F,Sarah,Is Manuel aggravated that Emilia looked after the kids?,
152,experiment,trouble,Josh learned to ride a bike yesterday,stim,,yes,3449,33,M,Logan,Is Heather troubled that Josh learned to ride a bike yesterday?,
152,experiment,surprise,Mary planted a tree,stim,,yes,1657,34,M,Thomas,Is Patrick surprised that Mary planted a tree?,
152,experiment,cringe,Mia drank 2 cocktails last night,stim,,yes,1724,35,F,Nancy,Did Dennis cringe that Mia drank 2 cocktails last night?,
152,experiment,,Mary's aunt is sick,control,,no,1785,36,M,James,Is Mary's aunt sick?,
152,experiment,thrill,Olivia left her job,stim,,yes,1878,37,F,Elizabeth,Is Francisco thrilled that Olivia left her job?,
152,experiment,retract,Josie went on vacation to France,stim,,yes,6899,38,F,Jessica,Did Alan retract that Josie went on vacation to France?,
152,experiment,pain,Grace visited her sister,stim,,yes,1931,39,F,Linda,Is Ray pained that Grace visited her sister?,
152,experiment,love,Courtney woke up early yesterday,stim,,yes,3201,40,F,Donna,Did Brian love that Courtney woke up early yesterday?,
152,experiment,,Vanessa is good at math,control,,no,2640,41,F,Margaret,Is Vanessa good at math?,
120,experiment,,,,,5fc843f1d115ef1b7d60a2a8,0,1,,,,
120,experiment,,,,Patricia,Patricia,0,2,,,bot_check,
120,experiment,,Vanessa is good at math,control,,no,1604,9,M,Mark,Is Vanessa good at math?,
120,experiment,facinate,Danny ate the last cupcake,stim,,no,4655,10,F,Lisa,Is Nicole fascinated that Danny ate the last cupcake?,
120,experiment,write,Mia drank 2 cocktails last night,stim,,no,3673,11,M,James,Did Dennis write that Mia drank 2 cocktails last night?,
120,experiment,squeal,Dylan argued with his parents,stim,,no,5345,12,M,Christopher,Did Stephanie squeal that Dylan argued with his parents?,
120,experiment,pain,Jackson ran 10 miles,stim,,yes,4679,13,F,Sandra,Is Catherine pained that Jackson ran 10 miles?,
120,experiment,irritate,Jayden rented a car,stim,,yes,5728,14,M,George,Is Kaitlin irritated that Jayden rented a car?,
120,experiment,enjoy,Jon went out for dinner,stim,,yes,4309,15,F,Michelle,Did Brenda enjoy that Jon went out for dinner?,
120,experiment,bet,Olivia left her job,stim,,yes,3987,16,M,Richard,Did Colby bet that Olivia left her job?,
120,experiment,fantasize,Louis went swimming,stim,,no,3898,17,F,Karen,Did Regina fantasize that Louis went swimming?,
120,experiment,dictate,Owen shoveled snow last winter,stim,,yes,4323,18,M,Thomas,Did Rebecca dictate that Owen shoveled snow last winter?,
120,experiment,alarm,Emilia looked after the kids,stim,,yes,3933,19,F,Margaret,Is Brian alarmed that Emilia looked after the kids?,
120,experiment,gossip,Josie went on vacation to France,stim,,no,4229,20,M,Paul,Did Manuel gossip that Josie went on vacation to France?,
120,experiment,expose,Connor fell from a tree,stim,,yes,2043,21,F,Jessica,Did Melissa expose that Connor fell from a tree?,
120,experiment,,Zack is coming to the meeting tomorrow,control,,no,3314,22,F,Donna,Is Zack coming to the meeting tomorrow?,
120,experiment,torture,Allen went to the museum,stim,,yes,3243,23,F,Elizabeth,Is Kathleen tortured that Allen went to the museum?,
120,experiment,,Mary's aunt is sick,control,,no,2052,24,F,Jennifer,Is Mary's aunt sick?,
120,experiment,whine,Isabella ate a steak on Sunday,stim,,yes,4059,25,M,David,Did Ben whine that Isabella ate a steak on Sunday?,
120,experiment,envision,Natasha got a promotion,stim,,no,2617,26,M,Matthew,Did Justin envision that Natasha got a promotion?,
120,experiment,ignore,Courtney woke up early yesterday,stim,,yes,3637,27,M,Logan,Did Alan ignore that Courtney woke up early yesterday?,
120,experiment,,Hendrick's car was expensive,control,,no,1811,28,M,Robert,Was Hendrick's car expensive?,
120,experiment,charm,Grace visited her sister,stim,,yes,2339,29,F,Helen,Is Eli charmed that Grace visited her sister?,
120,experiment,scream,Jason made a cake,stim,,yes,3787,30,M,William,Did Sharon scream that Jason made a cake?,
120,experiment,,Todd played football in high school,control,,no,1361,31,F,Carol,Did Todd play football in high school?,
120,experiment,retract,Valerie booked the venue,stim,,yes,4032,32,F,Susan,Did Noah retract that Valerie booked the venue?,
120,experiment,anticipate,Frank got a cat,stim,,no,3533,33,F,Betty,Did Laura anticipate that Frank got a cat?,
120,experiment,murmur,Hannah called her parents,stim,,no,4506,34,F,Kimberly,Did Andrew murmur that Hannah called her parents?,
120,experiment,,Madison had a baby,control,,no,1600,35,F,Nancy,Did Madison have a baby?,
120,experiment,thrill,Zoe calculated the tip,stim,,yes,3778,36,F,Linda,Is Francisco thrilled that Zoe calculated the tip?,
120,experiment,trouble,Danielle painted her room,stim,,yes,2410,37,F,Sarah,Is Scott troubled that Danielle painted her room?,
120,experiment,offend,Sophia got a tattoo,stim,,yes,1781,38,M,Kenneth,Is Jerry offended that Sophia got a tattoo?,
120,experiment,express,Molly attended a conference last week,stim,,yes,3423,39,F,Ashley,Did Tim express that Molly attended a conference last week?,
120,experiment,think,Audrey went to a party,stim,,no,3390,40,M,Steven,Did Bobby think that Audrey went to a party?,
120,experiment,celebrate,Mary planted a tree,stim,,yes,3522,41,F,Dorothy,Did Kevin celebrate that Mary planted a tree?,
151,experiment,,,,,5fab76f15d1791677ab9a851,0,1,,,,
151,experiment,,,,Linda,Linda,0,2,,,bot_check,
151,experiment,testify,Hannah called her parents,stim,,no,6022,9,F,Jennifer,Did Ray testify that Hannah called her parents?,
151,experiment,murmur,Danielle painted her room,stim,,no,9224,10,M,William,Did Eli murmur that Danielle painted her room?,
151,experiment,elaborate,Lucas bought new shoes,stim,,no,7928,11,F,Sarah,Did Shirley elaborate that Lucas bought new shoes?,
151,experiment,argue,Dylan argued with his parents,stim,,no,6162,12,F,Ashley,Did Brenda argue that Dylan argued with his parents?,
151,experiment,,Madison had a baby,control,,no,3967,13,M,Christopher,Did Madison have a baby?,
151,experiment,disgust,Natasha got a promotion,stim,,yes,4816,14,M,Kenneth,Is Noah disgusted that Natasha got a promotion?,
151,experiment,distress,Emilia looked after the kids,stim,,yes,6208,15,F,Sandra,Is Alan distressed that Emilia looked after the kids?,
151,experiment,cringe,Danny ate the last cupcake,stim,,yes,4742,16,M,Matthew,Did Sharon cringe that Danny ate the last cupcake?,
151,experiment,anticipate,Owen shoveled snow last winter,stim,,no,9212,17,M,Thomas,Did Ruth anticipate that Owen shoveled snow last winter?,
151,experiment,resent,Audrey went to a party,stim,,yes,5160,18,M,Mark,Did Colby resent that Audrey went to a party?,
151,experiment,amuse,Jon went out for dinner,stim,,yes,4469,19,F,Betty,Is Cynthia amused that Jon went out for dinner?,
151,experiment,write,Mia drank 2 cocktails last night,stim,,yes,4320,20,F,Kimberly,Did Francisco write that Mia drank 2 cocktails last night?,
151,experiment,gossip,Josie went on vacation to France,stim,,yes,6874,21,F,Lisa,Did Andrew gossip that Josie went on vacation to France?,
151,experiment,embarrass,Cole celebrated his friend's birthday,stim,,yes,4494,22,F,Nancy,Is Amanda embarrassed that Cole celebrated his friend's birthday?,
151,experiment,,Mary's aunt is sick,control,,no,2759,23,M,Logan,Is Mary's aunt sick?,
151,experiment,charm,Frank got a cat,stim,,yes,5027,24,M,George,Is Laura charmed that Frank got a cat?,
151,experiment,joke,Charley spilled the wine,stim,,no,5164,25,F,Margaret,Did Rebecca joke that Charley spilled the wine?,
151,experiment,pray,Fred missed the train,stim,,no,4634,26,M,James,Did Amy pray that Fred missed the train?,
151,experiment,compute,Josh learned to ride a bike yesterday,stim,,no,6900,27,F,Carol,Did Melissa compute that Josh learned to ride a bike yesterday?,
151,experiment,aggravate,Mary planted a tree,stim,,yes,4038,28,F,Michelle,Is Scott aggravated that Mary planted a tree?,
151,experiment,shock,Emma studied on Saturday morning,stim,,yes,3992,29,F,Karen,Is Jerry shocked that Emma studied on Saturday morning?,
151,experiment,surprise,Tony had a drink last night,stim,,yes,3224,30,F,Elizabeth,Is Anna surprised that Tony had a drink last night?,
151,experiment,retract,Jayden rented a car,stim,,no,7501,31,M,Steven,Did Nicole retract that Jayden rented a car?,
151,experiment,,Zack is coming to the meeting tomorrow,control,,no,3240,32,M,Robert,Is Zack coming to the meeting tomorrow?,
151,experiment,,Hendrick's car was expensive,control,,no,2912,33,F,Dorothy,Was Hendrick's car expensive?,
151,experiment,think,Molly attended a conference last week,stim,,no,7061,34,M,David,Did Ben think that Molly attended a conference last week?,
151,experiment,require,Jackson ran 10 miles,stim,,no,5656,35,M,Richard,Did Heather require that Jackson ran 10 miles?,
151,experiment,verify,Allen went to the museum,stim,,no,3214,36,F,Donna,Did Kathleen verify that Allen went to the museum?,
151,experiment,,Vanessa is good at math,control,,no,2134,37,M,Paul,Is Vanessa good at math?,
151,experiment,,Todd played football in high school,control,,no,2872,38,F,Jessica,Did Todd play football in high school?,
